date,salt,ols,lr
2005-10-01,100.75,174.31220000000002,101.16199016344434
2005-11-01,100.6,173.43810000000002,101.15806669301213
2005-12-01,100.4,172.56400000000002,101.1541432225799
2006-01-01,101.14,171.68990000000002,101.15021975214769
2006-02-01,173.12,170.81580000000002,101.14629628171546
2006-03-01,83.95,169.94170000000003,101.14237281128325
2006-04-01,92.54,169.06760000000003,101.13844934085104
2006-05-01,96.1,168.1935,101.13452587041881
2006-06-01,98.0,167.3194,101.1306023999866
2006-07-01,98.77,166.4453,101.12667892955437
2006-08-01,99.83,165.5712,101.12275545912216
2006-09-01,99.54,164.6971,101.11883198868995
2006-10-01,99.48,163.823,101.11490851825772
2006-11-01,99.71,162.9489,101.11098504782551
2006-12-01,99.94,162.0748,101.1070615773933
2007-01-01,100.59,161.2007,101.10313810696107
2007-02-01,100.74,160.3266,101.09921463652886
2007-03-01,100.57,159.45250000000001,101.09529116609663
2007-04-01,100.57,158.57840000000002,101.09136769566442
2007-05-01,100.5,157.70430000000002,101.0874442252322
2007-06-01,100.34,156.83020000000002,101.08352075479998
2007-07-01,100.52,155.95610000000002,101.07959728436776
2007-08-01,101.45,155.082,101.07567381393555
2007-09-01,101.38,154.2079,101.07175034350333
2007-10-01,100.8,153.3338,101.06782687307111
2007-11-01,100.37,152.4597,101.06390340263889
2007-12-01,100.19,151.5856,101.05997993220667
2008-01-01,100.7,150.7115,101.05605646177446
2008-02-01,102.06,149.8374,101.05213299134223
2008-03-01,101.97,148.9633,101.04820952091002
2008-04-01,102.39,148.0892,101.0442860504778
2008-05-01,102.42,147.2151,101.04036258004558
2008-06-01,101.68,146.341,101.03643910961337
2008-07-01,103.05,145.4669,101.03251563918114
2008-08-01,104.71,144.5928,101.02859216874893
2008-09-01,102.58,143.7187,101.02466869831672
2008-10-01,101.62,142.8446,101.02074522788449
2008-11-01,101.15,141.97050000000002,101.01682175745228
2008-12-01,101.12,141.09640000000002,101.01289828702005
2009-01-01,100.72,140.22230000000002,101.00897481658784
2009-02-01,101.9,139.34820000000002,101.00505134615562
2009-03-01,101.31,138.47410000000002,101.0011278757234
2009-04-01,100.23,137.60000000000002,100.99720440529119
2009-05-01,100.05,136.72590000000002,100.99328093485897
2009-06-01,100.08,135.85180000000003,100.98935746442675
2009-07-01,100.32,134.97770000000003,100.98543399399453
2009-08-01,100.34,134.10360000000003,100.9815105235623
2009-09-01,100.43,133.22950000000003,100.9775870531301
2009-10-01,100.68,132.35540000000003,100.97366358269788
2009-11-01,100.31,131.4813,100.96974011226565
2009-12-01,100.03,130.6072,100.96581664183344
2010-01-01,100.35,129.7331,100.96189317140121
2010-02-01,100.08,128.859,100.957969700969
2010-03-01,100.19,127.98490000000001,100.95404623053679
2010-04-01,99.99,127.11080000000001,100.95012276010456
2010-05-01,99.96,126.23670000000001,100.94619928967235
2010-06-01,99.88,125.36260000000001,100.94227581924014
2010-07-01,99.98,124.48850000000002,100.93835234880791
2010-08-01,101.51,123.61440000000002,100.9344288783757
2010-09-01,100.67,122.7403,100.93050540794347
2010-10-01,99.98,121.8662,100.92658193751126
2010-11-01,99.98,120.99210000000001,100.92265846707905
2010-12-01,100.26,120.11800000000001,100.91873499664682
2011-01-01,100.45,119.24390000000001,100.9148115262146
2011-02-01,100.28,118.36980000000001,100.9108880557824
2011-03-01,100.44,117.49570000000001,100.90696458535017
2011-04-01,100.14,116.62160000000002,100.90304111491795
2011-05-01,100.16,115.74750000000002,100.89911764448573
2011-06-01,100.09,114.87340000000002,100.89519417405351
2011-07-01,100.08,113.9993,100.8912707036213
2011-08-01,100.23,113.1252,100.88734723318908
2011-09-01,100.21,112.25110000000001,100.88342376275686
2011-10-01,100.22,111.37700000000001,100.87950029232465
2011-11-01,100.52,110.50290000000001,100.87557682189242
2011-12-01,102.27,109.62880000000001,100.87165335146021
2012-01-01,103.54,108.75470000000001,100.86772988102798
2012-02-01,104.53,107.88060000000002,100.86380641059577
2012-03-01,102.56,107.00650000000002,100.85988294016356
2012-04-01,101.32,106.13240000000002,100.85595946973133
2012-05-01,100.63,105.2583,100.85203599929912
2012-06-01,100.3,104.3842,100.84811252886689
2012-07-01,100.39,103.51010000000001,100.84418905843468
2012-08-01,100.89,102.63600000000001,100.84026558800247
2012-09-01,100.3,101.76190000000001,100.83634211757024
2012-10-01,100.17,100.88780000000001,100.83241864713803
2012-11-01,100.28,100.01370000000001,100.82849517670581
2012-12-01,100.52,99.13960000000002,100.82457170627359
2013-01-01,100.34,98.26550000000002,100.82064823584138
2013-02-01,100.46,97.3914,100.81672476540915
2013-03-01,100.06,96.5173,100.81280129497694
2013-04-01,100.01,95.64320000000001,100.80887782454472
2013-05-01,99.74,94.76910000000001,100.8049543541125
2013-06-01,99.81,93.89500000000001,100.80103088368028
2013-07-01,99.81,93.02090000000001,100.79710741324807
2013-08-01,99.65,92.14680000000001,100.79318394281584
2013-09-01,100.01,91.27270000000001,100.78926047238363
2013-10-01,99.98,90.39860000000002,100.7853370019514
2013-11-01,100.15,89.52450000000002,100.78141353151919
2013-12-01,100.09,88.6504,100.77749006108698
2014-01-01,100.19,87.7763,100.77356659065475
2014-02-01,100.06,86.90220000000001,100.76964312022254
2014-03-01,100.05,86.02810000000001,100.76571964979031
2014-04-01,100.05,85.15400000000002,100.7617961793581
2014-05-01,100.1,84.2799,100.75787270892589
2014-06-01,100.28,83.4058,100.75394923849366
2014-07-01,100.6,82.5317,100.75002576806145
2014-08-01,100.62,81.6576,100.74610229762924
2014-09-01,100.35,80.7835,100.74217882719701
2014-10-01,100.44,79.9094,100.7382553567648
2014-11-01,100.32,79.0353,100.73433188633257
2014-12-01,101.05,78.16120000000001,100.73040841590036
2015-01-01,103.28,77.28710000000001,100.72648494546814
2015-02-01,103.0,76.41300000000001,100.72256147503592
2015-03-01,101.89,75.53890000000001,100.7186380046037
2015-04-01,101.14,74.66480000000001,100.71471453417149
2015-05-01,100.71,73.79070000000002,100.71079106373926
2015-06-01,100.29,72.91660000000002,100.70686759330705
2015-07-01,100.06,72.04250000000002,100.70294412287483
2015-08-01,100.13,71.16840000000002,100.69902065244261
2015-09-01,99.89,70.29430000000002,100.6950971820104
2015-10-01,100.34,69.42020000000002,100.69117371157817
